date_from,date_to,country_code,destination_country,count
2022-01-24,2022-01-30,211,AUS,1140
2022-01-24,2022-01-30,246,GRC,5738
2022-01-24,2022-01-30,983,TUR,53537
2022-01-24,2022-01-30,994,IND,4964
2022-01-24,2022-01-30,995,THA,26086
2022-01-24,2022-01-30,1056,EGY,17608
2022-01-24,2022-01-30,10074,PRT,1574
2022-01-24,2022-01-30,10077,ROU,4281
2022-01-24,2022-01-30,10083,HRV,2228
2022-01-24,2022-01-30,20574,CYP,4892
2022-01-24,2022-01-30,21610,MNE,3182
2022-01-31,2022-02-06,84,USA,27065
2022-01-31,2022-02-06,95,CAN,6915
2022-01-31,2022-02-06,96,DEU,40665
2022-01-31,2022-02-06,102,GBR,9298
2022-01-31,2022-02-06,113,AUT,3478
2022-01-31,2022-02-06,114,BEL,2874
2022-01-31,2022-02-06,115,BGR,8258
2022-01-31,2022-02-06,116,HUN,7542
2022-01-31,2022-02-06,117,LTU,9096
2022-01-31,2022-02-06,118,NLD,7002
2022-01-31,2022-02-06,119,NOR,2558
2022-01-31,2022-02-06,120,POL,26313
2022-01-31,2022-02-06,121,SVK,2135
2022-01-31,2022-02-06,122,SVN,1221
2022-01-31,2022-02-06,123,FIN,12642
2022-01-31,2022-02-06,124,FRA,11184
2022-01-31,2022-02-06,125,CZE,10617
2022-01-31,2022-02-06,126,CHE,2540
2022-01-31,2022-02-06,127,SWE,10332
2022-01-31,2022-02-06,159,KAZ,699721
2022-01-31,2022-02-06,167,AZE,17200
2022-01-31,2022-02-06,168,ARM,26836
2022-01-31,2022-02-06,169,GEO,16573
2022-01-31,2022-02-06,171,UZB,87442
2022-01-31,2022-02-06,179,EST,8747
2022-01-31,2022-02-06,180,SRB,11169
2022-01-31,2022-02-06,181,ISR,16050
2022-01-31,2022-02-06,204,ESP,13713
2022-01-31,2022-02-06,205,ITA,8780
2022-01-31,2022-02-06,206,LVA,11398
2022-01-31,2022-02-06,207,KGZ,74479
2022-01-31,2022-02-06,209,TJK,75406
2022-01-31,2022-02-06,210,ARE,14724
2022-01-31,2022-02-06,211,AUS,1488
2022-01-31,2022-02-06,246,GRC,6018
2022-01-31,2022-02-06,983,TUR,56316
2022-01-31,2022-02-06,994,IND,4433
2022-01-31,2022-02-06,995,THA,27989
2022-01-31,2022-02-06,1056,EGY,18269
2022-01-31,2022-02-06,10074,PRT,1397
2022-01-31,2022-02-06,10077,ROU,5775
2022-01-31,2022-02-06,10083,HRV,2901
2022-01-31,2022-02-06,20574,CYP,5149
2022-01-31,2022-02-06,21610,MNE,3459
2022-02-07,2022-02-13,84,USA,25420
2022-02-07,2022-02-13,95,CAN,4104
2022-02-07,2022-02-13,96,DEU,37806
2022-02-07,2022-02-13,102,GBR,9043
2022-02-07,2022-02-13,113,AUT,3254
2022-02-07,2022-02-13,114,BEL,2993
2022-02-07,2022-02-13,115,BGR,7981
2022-02-07,2022-02-13,116,HUN,8057
2022-02-07,2022-02-13,117,LTU,8895
2022-02-07,2022-02-13,118,NLD,7286
2022-02-07,2022-02-13,119,NOR,2715
2022-02-07,2022-02-13,120,POL,25774
2022-02-07,2022-02-13,121,SVK,2300
2022-02-07,2022-02-13,122,SVN,1501
2022-02-07,2022-02-13,123,FIN,12653
2022-02-07,2022-02-13,124,FRA,11051
2022-02-07,2022-02-13,125,CZE,10459
2022-02-07,2022-02-13,126,CHE,2656
2022-02-07,2022-02-13,127,SWE,9554
2022-02-07,2022-02-13,159,KAZ,703681
2022-02-07,2022-02-13,167,AZE,17709
2022-02-07,2022-02-13,168,ARM,25286
2022-02-07,2022-02-13,169,GEO,17008
2022-02-07,2022-02-13,171,UZB,83321
2022-02-07,2022-02-13,179,EST,8532
2022-02-07,2022-02-13,180,SRB,10814
2022-02-07,2022-02-13,181,ISR,16368
2022-02-07,2022-02-13,204,ESP,14578
2022-02-07,2022-02-13,205,ITA,8491
2022-02-07,2022-02-13,206,LVA,11541
2022-02-07,2022-02-13,207,KGZ,76076
2022-02-07,2022-02-13,209,TJK,71566
2022-02-07,2022-02-13,210,ARE,16527
2022-02-07,2022-02-13,211,AUS,1747
2022-02-07,2022-02-13,246,GRC,6462
2022-02-07,2022-02-13,983,TUR,62697
2022-02-07,2022-02-13,994,IND,6065
2022-02-07,2022-02-13,995,THA,34410
2022-02-07,2022-02-13,1056,EGY,19035
2022-02-07,2022-02-13,10074,PRT,1631
2022-02-07,2022-02-13,10077,ROU,5437
2022-02-07,2022-02-13,10083,HRV,2956
2022-02-07,2022-02-13,20574,CYP,5500
2022-02-07,2022-02-13,21610,MNE,3419
2022-02-14,2022-02-20,84,USA,26354
2022-02-14,2022-02-20,95,CAN,3911
2022-02-14,2022-02-20,96,DEU,37431
2022-02-14,2022-02-20,102,GBR,9749
2022-02-14,2022-02-20,113,AUT,3210
2022-02-14,2022-02-20,114,BEL,2838
2022-02-14,2022-02-20,115,BGR,7269
2022-02-14,2022-02-20,116,HUN,7023
2022-02-14,2022-02-20,117,LTU,8365
2022-02-14,2022-02-20,118,NLD,7300
2022-02-14,2022-02-20,119,NOR,2574
2022-02-14,2022-02-20,120,POL,23636
2022-02-14,2022-02-20,121,SVK,1903
2022-02-14,2022-02-20,122,SVN,1343
